"Date","PCPI48001","PCPI48003","PCPI48005","PCPI48007","PCPI48009","PCPI48011","PCPI48013","PCPI48015","PCPI48017","PCPI48019","PCPI48021","PCPI48023","PCPI48025","PCPI48027","PCPI48029","PCPI48031","PCPI48033","PCPI48035","PCPI48037","PCPI48039","PCPI48041","PCPI48043","PCPI48045","PCPI48047","PCPI48049","PCPI48051","PCPI48053","PCPI48055","PCPI48057","PCPI48059","PCPI48061","PCPI48063","PCPI48065","PCPI48067","PCPI48069","PCPI48071","PCPI48073","PCPI48075","PCPI48077","PCPI48079","PCPI48081","PCPI48083","PCPI48085","PCPI48087","PCPI48089","PCPI48091","PCPI48093","PCPI48095","PCPI48097","PCPI48099","PCPI48101","PCPI48103","PCPI48105","PCPI48107","PCPI48109","PCPI48111","PCPI48113","PCPI48115","PCPI48117","PCPI48119","PCPI48121","PCPI48123","PCPI48125","PCPI48127","PCPI48129","PCPI48131","PCPI48133","PCPI48135","PCPI48137","PCPI48141","PCPI48139","PCPI48143","PCPI48145","PCPI48147","PCPI48149","PCPI48151","PCPI48153","PCPI48155","PCPI48157","PCPI48159","PCPI48161","PCPI48163","PCPI48165","PCPI48167","PCPI48169","PCPI48171","PCPI48173","PCPI48175","PCPI48177","PCPI48179","PCPI48181","PCPI48183","PCPI48185","PCPI48187","PCPI48189","PCPI48191","PCPI48193","PCPI48195","PCPI48197","PCPI48199","PCPI48201","PCPI48203","PCPI48205","PCPI48207","PCPI48209","PCPI48211","PCPI48213","PCPI48215","PCPI48217","PCPI48219","PCPI48221","PCPI48223","PCPI48225","PCPI48227","PCPI48229","PCPI48231","PCPI48233","PCPI48235","PCPI48237","PCPI48239","PCPI48241","PCPI48243","PCPI48245","PCPI48247","PCPI48249","PCPI48251","PCPI48253","PCPI48255","PCPI48257","PCPI48259","PCPI48261","PCPI48263","PCPI48265","PCPI48267","PCPI48269","PCPI48271","PCPI48273","PCPI48275","PCPI48283","PCPI48277","PCPI48279","PCPI48281","PCPI48285","PCPI48287","PCPI48289","PCPI48291","PCPI48293","PCPI48295","PCPI48297","PCPI48299","PCPI48301","PCPI48303","PCPI48305","PCPI48313","PCPI48315","PCPI48317","PCPI48319","PCPI48321","PCPI48323","PCPI48307","PCPI48309","PCPI48311","PCPI48325","PCPI48327","PCPI48329","PCPI48331","PCPI48333","PCPI48335","PCPI48337","PCPI48339","PCPI48341","PCPI48343","PCPI48345","PCPI48347","PCPI48349","PCPI48351","PCPI48353","PCPI48355","PCPI48357","PCPI48359","PCPI48361","PCPI48363","PCPI48365","PCPI48367","PCPI48369","PCPI48371","PCPI48373","PCPI48375","PCPI48377","PCPI48379","PCPI48381","PCPI48383","PCPI48385","PCPI48387","PCPI48389","PCPI48391","PCPI48393","PCPI48395","PCPI48397","PCPI48399","PCPI48401","PCPI48403","PCPI48405","PCPI48407","PCPI48409","PCPI48411","PCPI48413","PCPI48415","PCPI48417","PCPI48419","PCPI48421","PCPI48423","PCPI48425","PCPI48427","PCPI48429","PCPI48431","PCPI48433","PCPI48435","PCPI48437","PCPI48439","PCPI48441","PCPI48443","PCPI48445","PCPI48447","PCPI48449","PCPI48451","PCPI48453","PCPI48455","PCPI48457","PCPI48459","PCPI48461","PCPI48463","PCPI48465","PCPI48467","PCPI48469","PCPI48471","PCPI48473","PCPI48475","PCPI48477","PCPI48479","PCPI48481","PCPI48483","PCPI48485","PCPI48487","PCPI48489","PCPI48491","PCPI48493","PCPI48495","PCPI48497","PCPI48499","PCPI48501","PCPI48503","PCPI48505","PCPI48507"
1993-01-01,"13486","16070","16699","17261","18876","19824","13810","18258","20880","18603","16080","17337","12446","19240","18965","17888","24207","15887","17619","19027","15003","15142","22036","12195","15819","15407","19393","14580","15880","15334","11971","17955","20476","14705","28876","17915","16034","16462","15868","20714","14479","15343","28447","17809","17080","21667","16256","12302","16297","15499","17153","15196","16280","17462","11137","30503","23818","17079","22747","15555","21549","15845","15205","9432","16793","11544","14488","15864","13465","14414","17947","16987","13714","15844","19090","15242","23021","18535","22696","16232","14525","11507","18626","20540","14161","18368","16391","14177","16604","19902","17302","19448","14120","17092","18909","16374","17608","29296","16307","16357","22876","16111","35742","16336","17077","25422","15975","10838","15095","16968","18114","17662","15172","17219","10307","17093","19406","18535","15769","17405","15395","14772","18716","13608","14036","17349","13505","13326","17160","25905","24750","15464","20585","15305","20883","12854","15002","16761","10319","17058","19720","16593","16270","16935","16041","15773","15349","20009","15069","18003","33083","18524","18583","13668","14069","17877","14811","16216","8388","15802","17128","21984","15384","13634","23715","16239","16097","14872","16007","21102","18093","15152","18917","15143","15898","12576","15261","18114","20817","19931","16884","15682","14966","18865","25089","12023","17582","16687","10874","14996","21068","12907","14272","14235","11953","19939","18196","13814","25313","15400","16149","15254","13716","14255","14258","16498","14559","16032","18727","15974","37222","19249","15249","7347","16496","13393","18254","17370","23462","21627","18217","18088","19485","21572","16901","18411","21759","14588","14274","15304","17647","14279","13260","15601","19493","12611","16093","14792","19069","12064","16990","20945","18991","16794","10995","19788","16163","14511","16887","16078","17502","18210","9513","8630"
1994-01-01,"14259","16460","17432","17035","19383","17414","14390","19800","19645","19353","16655","16581","13023","19369","19860","18605","21176","16370","18141","19579","15347","15349","19123","12058","16372","16249","20201","15234","16279","15645","12364","18808","19613","15657","25137","19197","16579","16046","16490","21207","15225","15887","29824","17660","17898","22775","16943","13121","16995","15907","15672","15690","17096","18092","11321","23899","24920","15832","20998","16578","22404","16621","14994","9769","16170","11950","15203","16367","13525","14922","19170","18136","14826","16691","19267","15694","22103","17545","23210","16808","14970","11840","17275","21476","15256","19446","16936","15242","17525","20112","17916","20241","14952","17822","19434","13723","18285","25893","16350","16963","23314","16722","29261","16163","17705","24545","16966","11250","15656","17268","18900","17669","15472","17233","11332","17971","19291","18879","15330","19108","16422","14716","19393","13881","14275","18033","13687","14025","18065","26560","23189","14217","21311","16309","16380","13776","15589","15659","10535","17855","19115","17463","17325","17181","16672","16584","16224","19949","14580","18059","28456","19257","16412","13986","14794","15686","15481","17016","9268","16451","17922","20525","15942","15666","24067","16198","17180","14644","16544","22266","17993","15937","15577","15864","16570","13265","16125","18876","20026","19541","17630","16132","15570","19542","21421","12677","18811","17437","10884","15875","22075","13019","15624","14883","11944","20956","17874","14469","26719","16567","16739","15808","14589","14926","15129","15900","16257","17047","18739","16574","31299","19950","16674","7618","17168","14574","17269","17379","21549","22232","18526","20045","19652","18203","17386","18897","23009","15254","14840","16177","17967","14734","13658","16422","19764","13012","16359","15536","19895","12704","17801","20843","19562","16655","11023","20479","16749","14478","17444","16413","17755","18201","10328","8699"
1995-01-01,"14621","16738","18334","18703","19560","17848","14805","20183","19626","20096","17630","17690","13319","20290","20902","19239","21190","16802","19079","20442","15923","16034","16215","12035","16669","16940","20444","15915","17542","16779","12605","18780","21273","16741","27471","20428","17535","13877","17799","18615","16468","16672","32533","16768","19341","24624","17054","13010","17912","16489","15972","17135","16015","16930","12061","27197","25991","16362","21925","16398","23692","16294","14981","10553","17238","12157","15510","16912","11832","15463","20094","17953","15160","16512","20016","15239","18016","17382","24786","16652","14880","12230","17762","22745","16002","19805","14559","15430","16751","20955","18758","21498","15056","18803","18292","13473","19434","25784","17723","17970","24696","17285","24309","16433","18659","23628","17491","11488","16344","17552","20152","17953","16585","17691","11067","18614","20035","20227","15933","20915","17217","15132","19902","13799","14982","18692","13471","14897","19038","26624","18771","18879","22291","16422","17949","12746","15840","16866","10772","18334","20207","16971","18139","18004","17460","17042","16728","21291","14870","19350","31081","19918","17616","15248","14993","15324","15617","18132","9344","17496","19074","18335","16423","15318","24476","16359","17468","13677","17097","23640","18741","17274","15587","16459","17228","13541","17095","19550","20136","20296","18622","17087","16201","20981","19997","12170","18217","17910","11265","15999","22815","13503","16029","15157","12154","21892","17305","15315","28464","16449","16817","16392","14812","15588","15735","15285","16108","17386","18155","16869","28853","21016","17633","8217","16791","13504","18629","16936","20663","23150","19706","18508","19908","18478","17670","20109","24246","15819","15329","16750","17830","15520","13966","17269","20981","13486","16621","15271","21442","12738","19314","22108","20521","17559","10036","22405","17154","15170","17992","16675","17469","18694","10556","9428"
1996-01-01,"15296","17290","19139","19901","20938","19588","15340","21628","20230","21671","18056","17431","13359","20861","21659","19832","13447","17612","19668","21502","16697","16542","20241","11967","17312","17341","21003","16465","17460","17750","12996","20354","23532","17633","26966","21637","18476","13886","18399","20768","16348","17456","35123","18308","20174","24959","17840","12699","18931","16973","15740","17593","15320","20331","12607","28177","27669","16960","21841","16845","24819","16657","15103","10855","16644","12823","16386","17548","10737","16000","21126","19430","14770","17549","21004","15472","22106","21017","25888","18606","15310","11797","17878","23605","17121","21049","13346","16180","17680","21448","19575","22552","15641","19731","19804","16214","20524","25221","17538","18553","26463","18006","22019","17731","19394","24135","18547","11983","17171","18870","20856","19388","17172","17991","11029","19353","20093","18835","16053","20314","17770","14720","20390","14875","15652","19382","14063","13088","20073","27227","18282","16683","23144","16611","12475","13033","16036","17679","10606","19388","21078","17515","19062","18035","17777","18516","17133","22901","15074","20063","25220","20927","20249","15474","15579","15064","15625","18009","9715","17499","19677","22801","16914","15575","26482","16776","17530","13424","17900","25148","19903","18342","17710","17274","17814","13849","17211","20725","21213","18678","19325","17862","17124","22074","22669","12300","19628","18613","10925","16960","23441","13430","15347","15675","12383","20898","16658","15606","29926","17112","17615","17377","15978","16363","16226","16902","15192","17405","18799","17732","29359","22059","20054","8399","17737","13003","18899","17007","21943","24237","21052","19060","23217","22304","18441","20741","25603","16246","15666","18013","17962","15845","14246","17928","22019","13908","16572","15773","22961","13389","19351","23655","20852","18215","12018","23744","18221","15751","19157","17400","20109","20090","11215","9083"
1997-01-01,"15866","18554","19870","21270","22872","21353","16760","23621","21285","22925","19117","20242","14148","21196","22810","20420","19079","18885","20807","23278","17824","18587","20700","12606","18384","18929","21545","17345","18480","19042","13615","21716","23902","19218","30074","23383","19966","14758","19921","21112","16688","19182","37402","19157","21378","26185","18528","14728","20336","17023","18318","18371","15737","22231","14476","28705","29209","19107","20969","18514","26541","17806","17192","11422","19854","14159","17940","19151","11893","16889","22955","19851","15797","18626","22401","20030","20646","20006","26866","20232","16486","13277","18980","25158","17630","23089","21392","17967","19973","22888","20628","23920","16262","21436","20062","16347","22174","29070","20323","20296","28760","19206","25407","19652","20602","30373","19811","12564","18503","19939","22759","20536","18930","19231","12643","20490","21585","20084","17371","20981","19212","16893","21996","16600","16727","20646","15722","14233","21096","27402","18983","17113","24421","17771","17287","14081","16866","20153","12278","20392","20735","19059","20533","19314","19198","18767","18064","26173","16672","21322","46218","21646","22403","17452","16170","19642","16934","18940","10236","19041","20649","19238","17962","16323","29241","18447","18966","14863","19291","27155","20619","20488","18656","18099","19348","15031","18768","21715","22134","22293","21029","19371","18366","24290","23376","13046","21613","19839","12051","17705","24562","14676","16053","17158","12871","23311","19539","17438","31715","17852","18348","18703","16971","18237","17418","17648","18415","20026","21499","19354","31424","23364","20801","8694","18726","15694","20799","18274","23027","25771","22248","19435","20993","21707","19239","21734","27529","17226","17066","19061","18764","16950","14915","19916","22741","15270","18057","17270","24649","14201","20275","26543","21925","19221","12089","25544","19694","17272","20656","18145","21513","21923","11725","10264"
1998-01-01,"16741","18378","20874","23134","24396","22766","17373","24613","21913","24122","20139","21168","14416","22645","24284","22382","13757","20504","21267","24369","18603","20212","20976","13582","18972","19711","22768","18273","19560","19646","14272","23309","25938","19852","27162","24489","20986","15035","20672","18490","17636","19100","40647","19016","22371","27223","19558","14519","21429","17704","18556","17618","16365","21223","15417","28141","31484","16846","22936","18287","28705","18972","15642","12063","20314","14423","19060","20307","14055","17709","24103","21466","15809","18916","23080","16744","21534","19536","28361","21733","16978","14738","19020","26940","16744","24655","17129","18748","21121","23500","21461","24983","17140","21767","19965","14943","22484","32407","20208","21248","31117","20644","29189","17749","21476","32571","20691","13112","18692","19552","24408","22676","19179","19204","13437","21422","22005","21687","17691","21155","19989","17954","23547","16495","17403","22035","15616","14453","23036","28103","20372","17799","25554","18748","14337","15388","17493","20474","13206","21510","21870","20163","21051","20420","20310","19673","18149","26403","16745","22478","47675","22977","17283","17800","16840","14950","17457","20041","11090","19564","21718","21780","18540","16187","29613","19730","19665","14000","20151","29513","21475","20471","15549","19122","20142","16523","19083","22899","25920","26985","21840","20443","19635","25673","24851","13590","22684","20524","13675","17987","25623","14235","16736","17651","13936","23883","22362","18425","33764","17898","18997","19510","17965","18327","18136","18181","16937","19386","21903","20508","36030","24946","21936","9116","19703","16347","21997","19324","24835","27652","23331","19638","19243","23585","20071","22990","31253","17526","17335","19913","18778","18160","16078","20868","24363","15766","18774","17964","26000","14567","21137","28106","22967","20620","12956","28503","20871","17424","21702","18719","20210","23138","12186","10207"
1999-01-01,"16963","18672","21410","23093","25514","25179","18210","25344","25254","24473","21691","21528","14741","24326","25411","24103","16297","21271","21991","25237","19260","21719","22001","13926","19556","20609","23613","19200","20896","20820","14572","23656","29426","20577","26279","25964","21162","15924","21929","22430","18913","19763","42999","21781","23009","27981","20234","17516","22694","18634","20944","17807","17184","20774","15379","31055","32111","19394","27435","18998","30121","20059","15919","12727","24374","14442","20523","19487","16904","18067","25282","22080","17124","19957","24476","19867","24296","23423","30388","22953","17895","14896","20577","27552","17886","25580","21551","20371","22125","22848","22186","25450","17320","22990","20704","18625","23323","34479","21731","21531","32053","21422","30744","20385","22756","32767","22449","13389","20006","20569","26035","22879","19982","19466","14261","22103","21975","23415","17806","23213","20120","19280","23252","16558","17777","23222","16351","15042","24057","29479","27983","19791","26144","19522","18295","16650","18003","20368","13934","22703","21337","22299","22004","21421","21733","20063","18900","25159","16909","23009","54649","23515","19953","17950","16822","20302","17712","20931","11511","20153","22620","24513","19057","17114","28600","21726","21309","14939","21009","29767","22563","20925","20246","20029","20751","15227","19624","23574","27909","29586","21978","21271","20469","26919","26347","13579","23523","21628","14570","18825","24784","15812","18384","18272","14666","25504","22408","19569","35884","19194","19613","20022","18183","19341","19050","18377","17691","19831","22157","22123","37011","25724","23395","9776","19731","17995","22803","19918","25415","28588","24029","21888","21436","25249","21294","23627","33904","17982","17548","20342","19303","18882","16952","20734","25006","15969","19226","17579","26736","14755","22032","27831","23873","22286","13825","30618","21592","17490","22937","19329","23386","23341","12016","11049"
2000-01-01,"18227","20803","22816","24772","26196","23439","20011","26631","24616","27346","22875","22024","15281","25173","27661","25840","19053","22304","23355","27164","20246","23474","22390","15600","20830","22088","25106","19981","21760","21318","15477","24059","28084","21507","27827","27601","21930","15277","22384","18654","20261","20820","45431","23893","24164","30213","21519","15778","24721","19271","23149","19201","19413","22095","14444","34683","35276","17805","26641","19490","33126","21306","16470","13831","25704","15941","21978","21434","19056","19182","26477","22641","17642","20341","26306","18468","23221","22583","33893","24718","19417","15775","19378","29865","19984","26658","18675","21262","23287","24257","23763","27815","18328","23775","21320","17039","23789","34932","21584","22865","34539","22258","31617","19799","23765","34048","23648","14191","20298","20811","28505","23613","21967","20317","15281","23439","23331","25176","19064","23817","21310","19757","24756","17619","18997","24646","16324","15630","25506","31952","28579","22286","27539","20032","21226","18608","18764","19868","14950","23126","21484","23545","22908","22635","23011","21042","19553","26312","17599","24663","72154","24935","18824","18090","17560","17754","19585","21634","12168","21492","23381","26921","20215","17555","32230","23071","22711","15037","22735","32858","23270","22125","18387","20617","21359","15371","20019","24600","27957","27206","23142","22350","22157","29144","28062","14285","24850","22900","16463","19920","25511","17428","19228","18641","15491","26714","24360","20893","37628","19086","21523","21395","19018","20070","20024","19497","19574","20909","24528","22921","38260","27881","25206","10224","20782","20039","23697","22359","23939","30474","24698","25868","21319","24709","21995","24794","35548","18720","18488","21695","20593","19860","17848","22217","27306","17313","20069","18920","28405","15595","22973","28714","25099","22504","15221","31690","22462","19003","24107","19886","21770","24879","13097","10789"
2001-01-01,"19335","22889","25122","25768","29190","26914","20796","27409","26480","27229","23485","24401","16412","25958","28800","27154","23004","23753","24142","28512","20800","25650","25964","17045","21196","22584","27418","20985","22177","22803","16408","24954","28343","22094","27653","28140","23057","16059","26049","23183","23058","21470","43699","28546","25396","30285","24372","18718","26738","20568","28403","19964","21489","22359","14916","35576","36407","18390","27207","20135","33373","21933","16882","16144","28837","18266","23447","22358","22746","20662","27281","23980","18294","21308","27645","22985","24519","24178","35285","28335","20413","16703","21537","30655","19876","27995","21681","21915","24912","25386","23960","28823","19515","24794","21828","19098","24152","36582","24030","23852","37638","23184","30292","23450","25302","32636","24612","15286","22395","23411","29233","24226","22225","21568","15866","24433","22302","27990","19569","24023","21402","22602","25603","19115","20614","25692","18207","16466","25974","34555","32703","26373","29779","21727","24422","19794","20035","24190","17218","23459","21348","25817","24234","23648","24521","23286","20650","25673","18765","24495","75333","24653","20658","17805","18309","20548","21062","23426","13069","23674","23800","32354","21113","20188","36285","22721","24019","15947","23876","33642","24846","22486","23046","21657","21881","16617","21813","25995","29987","30148","24123","24273","23179","29271","29227","15423","25275","24341","18245","20769","26683","19938","20434","19863","17063","27423","26482","22863","38371","20715","22054","21597","20341","20910","21167","20166","21657","23028","27914","24008","36417","28264","27446","10976","24738","25233","30728","25388","25333","32014","25151","27406","22083","27530","23289","25901","35552","19932","19478","22543","23823","20540","18972","23298","27930","17378","22338","20842","29189","17258","24760","28548","27067","24179","15689","30350","23375","20391","25508","20766","23609","26341","14538","11623"
2002-01-01,"19435","22301","25123","26009","29840","29591","21106","27113","24308","26867","22996","24598","16147","26911","28361","28247","27635","23580","24899","28371","20877","25548","25036","16807","21668","23320","27779","20748","22141","23530","17274","25369","26003","21820","31114","27795","23065","16854","25072","22850","22573","21415","41475","28014","25669","30592","26126","17039","26585","22271","29754","20609","21582","23208","16205","33490","36463","19652","23269","20490","32296","21834","16999","16710","27592","18484","24573","22604","23794","21597","26605","23969","19557","21238","28278","22455","23673","23354","33945","30137","20836","17614","23183","30849","18814","28775","20868","21862","25282","25196","24038","28791","18999","25333","21988","19070","23998","32492","24080","24253","36023","23920","32199","22939","24426","30862","24805","15728","22097","22989","29634","24034","21777","21392","17175","24266","22074","28074","19825","23529","21916","24818","25572","20477","21196","25903","18241","16724","25847","34786","28949","25296","28844","22567","26143","20600","20635","22585","15123","23617","22291","25964","24238","23796","24228","23011","21258","25420","18726","24684","60533","25418","19714","20244","18652","19766","23140","22961","13249","24206","24335","33575","21607","20595","33929","22748","24288","15926","23944","32312","23444","22579","24948","22669","22423","17180","22176","26254","26147","26684","24406","23747","22989","29162","27117","16193","25597","24873","17221","20585","26997","19526","20990","19840","17005","25274","27796","23530","35877","20160","22156","22020","20548","20843","22077","20048","19999","23433","25873","24394","33803","28345","27332","11580","23757","24312","29350","26712","25521","31739","26101","26005","21939","26302","23973","26570","35061","20399","19633","22359","22656","20969","20096","23644","28229","18118","23384","20926","29053","18002","24894","25861","27974","24663","16161","28042","24453","19894","25572","21194","25529","25578","14853","12208"
2003-01-01,"19512","24582","26161","27117","31158","33763","21636","27827","25379","27910","23167","27063","16919","28579","29267","28679","34218","23865","25490","28617","22163","26890","26032","18556","22602","24796","28916","21282","23025","24396","17888","25773","27186","22597","37163","29443","23180","18333","25982","22956","23388","22967","41267","33529","26578","31200","26711","18690","28346","24991","33530","22195","23880","26521","17113","33515","36821","22078","25116","21519","31873","23289","19216","17897","29315","19977","26036","23455","27145","21931","26465","23146","21119","22018","29064","25191","24136","27148","33748","30072","21964","18348","24968","31720","20512","30217","31405","22988","25148","26357","24807","30534","20118","26107","22695","21111","24635","34644","25287","25683","36804","25104","29428","26186","24662","34740","25263","16217","22867","24519","29217","24121","22788","22790","18899","25551","22998","30332","20824","24960","22797","24870","26740","23003","23031","26586","19642","18077","25753","35731","34951","30245","29724","23722","27148","23110","22471","27439","15853","24742","23351","27751","25919","25032","25302","23829","22502","27504","20350","25698","68958","26312","26809","20822","19270","26991","23995","23201","14219","25910","25647","35753","22533","22963","35802","23510","25526","17542","24870","32316","24261","23467","26412","22797","23104","17695","23180","27770","29132","29476","25245","24433","24338","29589","26670","17858","26631","25545","18031","21533","28398","22537","21448","21442","17140","28003","31056","25841","35020","21998","22714","22783","20897","21187","23961","21685","22826","24659","28147","24301","33640","29383","26567","12599","24309","26727","31678","29155","26943","31999","27613","28126","25017","32203","24659","28023","35403","21332","20586","22900","25214","22509","22371","24591","29421","18456","23630","22299","29304","18689","26076","30054","29538","27071","19285","28767","24790","22349","26239","21442","28892","26843","16189","13799"
2004-01-01,"20337","26262","27367","29009","31652","35427","22365","28754","25254","29183","24415","28056","17886","29467","29856","30100","35197","24783","27347","29006","22806","29850","24576","19748","23312","25379","30129","21709","23369","24781","18142","27027","27746","24522","34731","30797","23602","18734","26965","28596","23266","23559","42205","32800","28497","32517","28249","19893","29371","26004","35526","22380","23877","31162","18556","36513","38253","22712","23431","21717","32828","23404","21007","18938","29514","20734","26743","24056","24931","22350","27462","23861","21784","22763","30250","26004","25645","25895","34802","30681","23817","18058","25114","32433","22279","33409","31784","23910","25889","28312","25536","31055","20909","27822","22831","20120","26095","35096","24923","26239","38578","27394","28185","27604","25858","34706","25377","16837","24297","25952","30642","25022","22795","23123","18210","26052","23752","32238","21891","25314","23338","25235","27238","25376","24166","26809","20810","18364","26111","38771","34295","29775","32417","24367","26627","23100","23704","29472","15654","25548","24329","28618","26405","25636","25798","24636","23087","28891","21549","27431","88091","27009","29228","20880","20954","27426","25378","24091","14682","25009","26028","39978","23528","23751","38895","23778","27251","18291","26165","33279","24627","24671","30439","23494","23815","18331","24417","28693","30712","31173","25309","24879","26010","30023","25044","18061","27167","25808","17914","22391","29931","22582","22422","22129","17401","28926","35025","26703","37126","23192","23081","23508","21578","22613","25001","22294","23195","28205","29679","25055","35385","30274","27730","12819","24846","27140","32922","31005","28253","33214","28534","31496","26312","36653","25474","28796","36515","22103","20975","23569","27011","23590","22339","25422","30899","18505","24781","22968","30967","19089","26981","30452","29640","26829","19826","29907","25344","23999","26809","22716","31029","27783","16703","14065"
2005-01-01,"21206","28868","28672","31573","33015","36617","23849","29951","28313","30516","25316","28424","19020","31579","31551","31301","42779","26604","28696","30914","24020","31148","29363","20752","24837","26896","32467","22969","24676","26292","18856","28516","29886","25168","40460","32540","25207","20354","28909","34719","22625","24496","45097","34342","29667","35240","28666","20308","31760","28646","34109","24476","24456","32881","20284","34970","40377","25134","26798","21500","35474","25336","21766","19628","31158","21754","28538","26516","24519","23339","28570","24509","22350","23514","30286","28001","29987","25981","37474","28552","25517","18822","26052","34290","23446","35828","40779","25976","26574","31575","26979","33209","22775","29951","24074","22142","27295","41270","25488","28302","41834","29486","32412","28469","27464","39256","26863","17903","25327","27130","33115","26120","22059","24810","18027","27386","25847","35115","23534","26491","25142","25950","29255","27996","25933","28061","21758","19886","27686","42138","29525","30163","35609","25353","26405","22395","25524","29248","16582","26067","26484","33647","28516","28061","25966","26400","24320","30936","22607","28713","73086","28559","30092","22198","22542","29867","25732","25330","15696","25339","27839","35774","24981","25684","44591","25638","27875","18925","28318","36959","26361","26042","31827","24727","25241","19374","26591","30404","34503","30635","27138","26774","27394","31976","28251","18857","29082","27348","18127","24261","31974","26820","23418","23038","18698","29820","35021","27478","39409","23625","24141","25071","22661","24956","26520","23202","22678","30673","31950","25731","41518","32617","29523","13810","27380","29095","36609","33515","33411","35281","29853","31975","28494","35204","26800","30621","38614","22644","22577","25138","30159","24381","23888","27086","33011","19552","26465","24157","32824","20497","28390","35434","31031","28850","19267","32550","26726","26273","28919","24620","34016","31854","17989","14572"
2006-01-01,"22401","32011","30504","34891","35712","37990","25708","32858","28693","32435","26484","29905","20382","33847","33377","33526","33547","27390","29874","33312","25334","33083","25095","22435","25802","29346","35080","23812","25936","27843","19932","29477","29299","26119","35823","35125","25715","19686","31282","30687","23887","25329","46719","30976","31710","36880","29360","18900","35420","31335","34443","28532","27074","29472","21663","32714","43310","22592","24762","22538","37718","26430","21961","20884","30804","23875","31328","29799","25219","24773","30161","25309","22760","24496","33410","25455","28610","24851","39827","29738","27669","19467","24976","37315","24122","36858","30196","27692","25478","32731","28442","36128","23865","31188","23714","21504","28611","36921","26238","30850","45123","31956","31052","26374","29658","44023","28072","18771","26378","28376","35980","26634","23229","26318","18631","28919","28697","39320","26995","28079","27664","28403","32049","29383","28666","30182","21648","20445","29449","46450","35887","29331","37434","27048","27309","23524","27434","28524","18465","27769","25455","36657","30226","30619","27269","28571","25650","32715","24824","31140","75040","30106","21595","22738","23898","27085","28971","26540","16413","25801","29323","39508","26340","26232","50331","27582","30204","19491","30788","40661","27565","27118","30311","24790","25955","20500","26741","32590","37224","31026","29891","29032","29539","34473","26978","19882","31525","28901","18920","25274","34293","27953","23436","24186","19679","29855","36094","29150","41769","24160","25728","27279","23078","26607","28486","23590","24114","28890","35944","26020","35909","34110","31609","14860","29475","34008","35837","39066","28148","37587","31717","34415","26603","35085","28062","31687","40945","23876","24177","26832","31740","25420","25329","28594","35767","20858","28275","27282","34132","21619","30202","35023","33959","30410","19485","34632","28253","29697","31690","25729","35926","33664","19625","15030"
2007-01-01,"24033","33661","31897","37941","37834","41617","27133","35114","29682","33859","27741","30400","21639","35741","34451","36592","45467","29638","32241","35913","26391","32557","31336","24080","27708","31162","36761","24922","28006","30052","20920","30135","35848","28219","38161","38821","26997","22339","33630","33822","27672","27723","48431","34571","34493","39259","30219","20854","38372","33324","38637","30213","28853","33406","23651","35920","44544","28124","28400","26283","39236","29338","24879","22997","30723","25708","32506","32237","24943","26195","32388","27694","24327","25958","35575","31809","32382","31243","42714","30881","28921","21657","26590","39968","27077","40262","49278","28715","26712","35866","30383","38073","25914","33189","24859","25474","31210","37614","28687","32832","45727","34176","31004","29802","30245","49662","30221","19651","28640","31714","38700","28032","25027","28056","21257","30322","31043","44432","30423","29916","28957","30718","33359","31227","30537","32113","24640","22518","30681","51205","42166","29053","39801","28726","30623","25421","28716","31163","18634","29931","27218","40564","32966","32379","29869","30822","27600","36159","26747","33561","75886","31520","33605","24786","25544","34250","29582","28063","17674","28718","30679","37427","28274","28557","51765","29688","30113","21522","33831","43614","30237","29041","32035","26332","27861","21741","29376","34321","37352","34471","31962","31910","33201","36078","29957","23571","34049","29202","20927","26739","36958","31808","25459","26633","20490","32971","38511","31169","43610","27713","27664","29316","24935","28005","31269","25186","24781","31493","36329","27432","41508","35162","34995","15838","31248","36114","37546","43175","28509","38539","33559","39316","30295","36404","28718","33137","41010","25597","25969","29251","36955","27262","26641","31022","37574","22216","29036","30451","36103","22335","31372","38477","34612","31853","22355","36551","30230","31966","34116","27922","38796","34952","20583","16213"
